,localizacao,title,url,valor
0,Curitiba -  PR,iPhone 7 32GB Black Matte ,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/celulares/iphone-7-32gb-black-matte-804066014,R$ 950
1,Brasília -  DF,Fone original ,https://df.olx.com.br/distrito-federal-e-regiao/celulares/fone-original-804065937,R$ 110
2,Manaus -  AM,IPhone,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-804065901,R$ 2.500
3,Monte Carmelo -  MG,Apple IPhone 8 Plus 64 GB - cinza espacial,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/celulares/apple-iphone-8-plus-64-gb-cinza-espacial-804065896,R$ 2.650
4,Juiz de Fora -  MG,Samsung A31 de 128 GB,https://mg.olx.com.br/regiao-de-juiz-de-fora/celulares/samsung-a31-de-128-gb-804065883,R$ 1.500
5,Cuiabá -  MT,"iPhone 6, 16gb.",https://mt.olx.com.br/regiao-de-cuiaba/celulares/iphone-6-16gb-804065805,R$ 600
6,Belém -  PA,Samsung A31,https://pa.olx.com.br/regiao-de-belem/celulares/samsung-a31-804065777,R$ 1.800
7,São Paulo -  SP,Iphone 7 32 GB Descontão a vista,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-7-32-gb-descontao-a-vista-803640842,R$ 1.700
8,Belo Horizonte -  MG,Kit 8 Gravatas de Griffe ,https://mg.olx.com.br/belo-horizonte-e-regiao/roupas-e-calcados/kit-8-gravatas-de-griffe-804065762,R$ 600
9,Feira de Santana -  BA,iPhone 7plus 128GB,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/celulares/iphone-7plus-128gb-804065737,R$ 2.250
10,Belém -  PA,IPhone 8 Plus Rose Semi-Novo Top!,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-8-plus-rose-semi-novo-top-804065726,R$ 3.000
11,Brasília -  DF,iPhone 7 -256GB -Usado,https://df.olx.com.br/distrito-federal-e-regiao/celulares/iphone-7-256gb-usado-804065699,R$ 1.700
12,São Paulo -  SP,Samsung Galaxy A70 Zero,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/samsung-galaxy-a70-zero-804065693,R$ 1.299
13,Salvador -  BA,IPhone 8 Plus,https://ba.olx.com.br/grande-salvador/celulares/iphone-8-plus-804065622,R$ 2.800
14,Rio de Janeiro -  RJ,Iphone XR 128GB ,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-xr-128gb-804065609,R$ 3.300
15,Barueri -  SP,Troco iPhone 6s,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/troco-iphone-6s-804065578,R$ 1
16,Manaus -  AM,Câmera Ip 3 Antenas Wifi Wireless 3ª Geração Visão Noturna,https://am.olx.com.br/regiao-de-manaus/objetos-de-decoracao/camera-ip-3-antenas-wifi-wireless-3-geracao-visao-noturna-804065559,R$ 170
17,Rio de Janeiro -  RJ,Troco Note 10 Lite Trincado,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/troco-note-10-lite-trincado-804065541,R$ 1
18,Recife -  PE,iPhone 7 Plus 128GB ,https://pe.olx.com.br/grande-recife/celulares/iphone-7-plus-128gb-804065543,R$ 2.300
19,"Carrapichel, Senhor do Bonfim -  BA",Iphone 11 vermelho 64 gigas,https://ba.olx.com.br/regiao-de-juazeiro-e-jacobina/celulares/iphone-11-vermelho-64-gigas-804065482,R$ 3.400
20,Recife -  PE,VENDO IPHONE 11 pro 64GbS R$5500 1 mês de uso,https://pe.olx.com.br/grande-recife/celulares/vendo-iphone-11-pro-64gbs-r-5500-1-mes-de-uso-804065483,R$ 5.500
21,Brasília -  DF,IPhone 7 32GB Silver,https://df.olx.com.br/distrito-federal-e-regiao/celulares/iphone-7-32gb-silver-804065435,R$ 1.320
22,Fortaleza -  CE,iPhone 7 Plus ,https://ce.olx.com.br/fortaleza-e-regiao/celulares/iphone-7-plus-804065419,R$ 2.500
23,Cariacica -  ES,Iphone 7plus 128gb,https://es.olx.com.br/norte-do-espirito-santo/celulares/iphone-7plus-128gb-804065412,R$ 2.000
24,Marechal Deodoro -  AL,"Samsung A20 Novo, Troco em iPhone dou torna !! ",https://al.olx.com.br/alagoas/celulares/samsung-a20-novo-troco-em-iphone-dou-torna-804065401,R$ 900
25,São Paulo -  SP,iPhone 6s ,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-6s-804065405,R$ 850
26,Salvador -  BA,IPhone 7 Plus 128 gb zeroo ,https://ba.olx.com.br/grande-salvador/celulares/iphone-7-plus-128-gb-zeroo-804065319,R$ 2.000
27,Salvador -  BA,Iphone x Vitrine 64gb,https://ba.olx.com.br/grande-salvador/celulares/iphone-x-vitrine-64gb-804065305,R$ 3.000
28,Uberaba -  MG,Lacrado!    Note 8 64GB,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/celulares/lacrado--note-8-64gb-804065289,R$ 1.390
29,São Luís -  MA,IPhone 8 Plus Red,https://ma.olx.com.br/regiao-de-sao-luis/celulares/iphone-8-plus-red-804065277,R$ 2.900
30,Goiânia -  GO,IPhone XR 128GB cor preta,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-xr-128gb-cor-preta-804065235,R$ 3.500
31,Alegre -  ES,IPhone X,https://es.olx.com.br/sul-do-espirito-santo/celulares/iphone-x-804065219,R$ 3.300
32,Petrópolis -  RJ,IPhone 8 gold rose 64GB,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/celulares/iphone-8-gold-rose-64gb-804065197,R$ 1.799
33,São Gonçalo -  RJ,Fone sem fio via Bluetooth para Android e iPhone ,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/fone-sem-fio-via-bluetooth-para-android-e-iphone-804065170,R$ 80
34,Araucária -  PR,Camera speed dome,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/computadores-e-acessorios/camera-speed-dome-804065162,R$ 299
35,Anápolis -  GO,iPhone 6s Plus 16GB ,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-6s-plus-16gb-804065150,R$ 950
36,Porto Velho -  RO,Iphone 6,https://ro.olx.com.br/rondonia/celulares/iphone-6-804065139,R$ 800
37,Manaus -  AM,iPhones semi novo aceitamos cartão ,https://am.olx.com.br/regiao-de-manaus/celulares/iphones-semi-novo-aceitamos-cartao-804065105,R$ 0
38,Salvador -  BA,Central Multimídia Aikon Polo Virtus 2018 na Elite Som,https://ba.olx.com.br/grande-salvador/autos-e-pecas/pecas-e-acessorios/carros-vans-e-utilitarios/central-multimidia-aikon-polo-virtus-2018-na-elite-som-804065090,R$ 2.299
39,Vila Velha -  ES,Carregador Portátil Power Bank 10.000mah Universal - Loja Natan Abreu,https://es.olx.com.br/norte-do-espirito-santo/celulares/carregador-portatil-power-bank-10-000mah-universal-loja-natan-abreu-777495167,R$ 79
40,São Paulo -  SP,iPhone 6 plus 16gb,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-6-plus-16gb-804065084,R$ 380
41,Teresina -  PI,Iphone 7,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/celulares/iphone-7-804065059,R$ 1.450
42,Goiânia -  GO,Bike soul sl 500,https://go.olx.com.br/grande-goiania-e-anapolis/ciclismo/bike-soul-sl-500-804065047,R$ 1.200
43,Goiânia -  GO,iPhone SE 64gb,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-se-64gb-804065041,R$ 440
44,Santarém -  PA,Iphone x 256gb,https://pa.olx.com.br/regiao-de-santarem/celulares/iphone-x-256gb-804065021,R$ 3.500
45,Belém -  PA,iPhone 7 32gb ( Aceitamos cartão ) ,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-7-32gb-aceitamos-cartao-800673360,R$ 1.699
46,Brasília -  DF,Moto g7 play 32gb,https://df.olx.com.br/distrito-federal-e-regiao/celulares/moto-g7-play-32gb-804064958,R$ 630
47,Contagem -  MG,iPhone 7 Plus - 32 GB (Seminovo) ,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-7-plus-32-gb-seminovo-804064911,R$ 1.999
48,Armação dos Búzios -  RJ,IPhone 8,https://rj.olx.com.br/norte-do-estado-do-rio/celulares/iphone-8-804064892,R$ 2.100
49,São Paulo -  SP,iPhones,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphones-804064864,R$ 0
50,Contagem -  MG,IPhone 8 Plus,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-8-plus-804064828,R$ 2.500
51,Belo Horizonte -  MG,iPhone ,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-804064825,R$ 1.950
