Tipo de Poços;Localização;Ano;Poços perfurados
Exploratório - Pioneiro;Terra;2009;32
Exploratório - Pioneiro;Mar;2009;34
Exploratório - Estratigráfico;Terra;2009;0
Exploratório - Estratigráfico;Mar;2009;1
Exploratório - Extensão/Avaliação;Terra;2009;25
Exploratório - Extensão/Avaliação;Mar;2009;11
Exploratório - Pioneiro Adjacente;Terra;2009;18
Exploratório - Pioneiro Adjacente;Mar;2009;8
Exploratório - Jazida mais Rasa;Terra;2009;2
Exploratório - Jazida mais Rasa;Mar;2009;1
Exploratório - Jazida mais Profunda;Terra;2009;1
Exploratório - Jazida mais Profunda;Mar;2009;6
Explotatório - Produção;Terra;2009;562
Explotatório - Produção;Mar;2009;57
Explotatório - Injeção;Terra;2009;12
Explotatório - Injeção;Mar;2009;18
Especiais;Terra;2009;11
Especiais;Mar;2009;49
Exploratório - Pioneiro;Terra;2010;24
Exploratório - Pioneiro;Mar;2010;49
Exploratório - Estratigráfico;Terra;2010;0
Exploratório - Estratigráfico;Mar;2010;1
Exploratório - Extensão/Avaliação;Terra;2010;44
Exploratório - Extensão/Avaliação;Mar;2010;20
Exploratório - Pioneiro Adjacente;Terra;2010;16
Exploratório - Pioneiro Adjacente;Mar;2010;4
Exploratório - Jazida mais Rasa;Terra;2010;0
Exploratório - Jazida mais Rasa;Mar;2010;0
Exploratório - Jazida mais Profunda;Terra;2010;2
Exploratório - Jazida mais Profunda;Mar;2010;9
Explotatório - Produção;Terra;2010;450
Explotatório - Produção;Mar;2010;61
Explotatório - Injeção;Terra;2010;23
Explotatório - Injeção;Mar;2010;21
Especiais;Terra;2010;12
Especiais;Mar;2010;56
Exploratório - Pioneiro;Terra;2011;46
Exploratório - Pioneiro;Mar;2011;47
Exploratório - Estratigráfico;Terra;2011;0
Exploratório - Estratigráfico;Mar;2011;0
Exploratório - Extensão/Avaliação;Terra;2011;35
Exploratório - Extensão/Avaliação;Mar;2011;44
Exploratório - Pioneiro Adjacente;Terra;2011;20
Exploratório - Pioneiro Adjacente;Mar;2011;12
Exploratório - Jazida mais Rasa;Terra;2011;0
Exploratório - Jazida mais Rasa;Mar;2011;0
Exploratório - Jazida mais Profunda;Terra;2011;5
Exploratório - Jazida mais Profunda;Mar;2011;7
Explotatório - Produção;Terra;2011;287
Explotatório - Produção;Mar;2011;53
Explotatório - Injeção;Terra;2011;30
Explotatório - Injeção;Mar;2011;23
Especiais;Terra;2011;6
Especiais;Mar;2011;58
Exploratório - Pioneiro;Terra;2012;55
Exploratório - Pioneiro;Mar;2012;45
Exploratório - Estratigráfico;Terra;2012;0
Exploratório - Estratigráfico;Mar;2012;0
Exploratório - Extensão/Avaliação;Terra;2012;39
Exploratório - Extensão/Avaliação;Mar;2012;36
Exploratório - Pioneiro Adjacente;Terra;2012;24
Exploratório - Pioneiro Adjacente;Mar;2012;3
Exploratório - Jazida mais Rasa;Terra;2012;0
Exploratório - Jazida mais Rasa;Mar;2012;0
Exploratório - Jazida mais Profunda;Terra;2012;7
Exploratório - Jazida mais Profunda;Mar;2012;6
Explotatório - Produção;Terra;2012;388
Explotatório - Produção;Mar;2012;72
Explotatório - Injeção;Terra;2012;62
Explotatório - Injeção;Mar;2012;27
Especiais;Terra;2012;7
Especiais;Mar;2012;45
Exploratório - Pioneiro;Terra;2013;32
Exploratório - Pioneiro;Mar;2013;14
Exploratório - Estratigráfico;Terra;2013;1
Exploratório - Estratigráfico;Mar;2013;0
Exploratório - Extensão/Avaliação;Terra;2013;27
Exploratório - Extensão/Avaliação;Mar;2013;27
Exploratório - Pioneiro Adjacente;Terra;2013;15
Exploratório - Pioneiro Adjacente;Mar;2013;3
Exploratório - Jazida mais Rasa;Terra;2013;0
Exploratório - Jazida mais Rasa;Mar;2013;0
Exploratório - Jazida mais Profunda;Terra;2013;2
Exploratório - Jazida mais Profunda;Mar;2013;1
Explotatório - Produção;Terra;2013;283
Explotatório - Produção;Mar;2013;72
Explotatório - Injeção;Terra;2013;52
Explotatório - Injeção;Mar;2013;35
Especiais;Terra;2013;3
Especiais;Mar;2013;43
Exploratório - Pioneiro;Terra;2014;20
Exploratório - Pioneiro;Mar;2014;3
Exploratório - Estratigráfico;Terra;2014;0
Exploratório - Estratigráfico;Mar;2014;0
Exploratório - Extensão/Avaliação;Terra;2014;18
Exploratório - Extensão/Avaliação;Mar;2014;25
Exploratório - Pioneiro Adjacente;Terra;2014;7
Exploratório - Pioneiro Adjacente;Mar;2014;9
Exploratório - Jazida mais Rasa;Terra;2014;0
Exploratório - Jazida mais Rasa;Mar;2014;0
Exploratório - Jazida mais Profunda;Terra;2014;2
Exploratório - Jazida mais Profunda;Mar;2014;5
Explotatório - Produção;Terra;2014;353
Explotatório - Produção;Mar;2014;70
Explotatório - Injeção;Terra;2014;30
Explotatório - Injeção;Mar;2014;29
Especiais;Terra;2014;9
Especiais;Mar;2014;14
Exploratório - Pioneiro;Terra;2015;17
Exploratório - Pioneiro;Mar;2015;2
Exploratório - Estratigráfico;Terra;2015;3
Exploratório - Estratigráfico;Mar;2015;0
Exploratório - Extensão/Avaliação;Terra;2015;20
Exploratório - Extensão/Avaliação;Mar;2015;22
Exploratório - Pioneiro Adjacente;Terra;2015;8
Exploratório - Pioneiro Adjacente;Mar;2015;2
Exploratório - Jazida mais Rasa;Terra;2015;1
Exploratório - Jazida mais Rasa;Mar;2015;0
Exploratório - Jazida mais Profunda;Terra;2015;2
Exploratório - Jazida mais Profunda;Mar;2015;0
Explotatório - Produção;Terra;2015;482
Explotatório - Produção;Mar;2015;45
Explotatório - Injeção;Terra;2015;16
Explotatório - Injeção;Mar;2015;21
Especiais;Terra;2015;6
Especiais;Mar;2015;18
Exploratório - Pioneiro;Terra;2016;15
Exploratório - Pioneiro;Mar;2016;0
Exploratório - Estratigráfico;Terra;2016;1
Exploratório - Estratigráfico;Mar;2016;0
Exploratório - Extensão/Avaliação;Terra;2016;4
Exploratório - Extensão/Avaliação;Mar;2016;11
Exploratório - Pioneiro Adjacente;Terra;2016;4
Exploratório - Pioneiro Adjacente;Mar;2016;1
Exploratório - Jazida mais Rasa;Terra;2016;1
Exploratório - Jazida mais Rasa;Mar;2016;0
Exploratório - Jazida mais Profunda;Terra;2016;1
Exploratório - Jazida mais Profunda;Mar;2016;0
Explotatório - Produção;Terra;2016;151
Explotatório - Produção;Mar;2016;42
Explotatório - Injeção;Terra;2016;1
Explotatório - Injeção;Mar;2016;23
Especiais;Terra;2016;1
Especiais;Mar;2016;3
Exploratório - Pioneiro;Terra;2017;12
Exploratório - Pioneiro;Mar;2017;0
Exploratório - Estratigráfico;Terra;2017;0
Exploratório - Estratigráfico;Mar;2017;0
Exploratório - Extensão/Avaliação;Terra;2017;3
Exploratório - Extensão/Avaliação;Mar;2017;3
Exploratório - Pioneiro Adjacente;Terra;2017;5
Exploratório - Pioneiro Adjacente;Mar;2017;2
Exploratório - Jazida mais Rasa;Terra;2017;0
Exploratório - Jazida mais Rasa;Mar;2017;0
Exploratório - Jazida mais Profunda;Terra;2017;0
Exploratório - Jazida mais Profunda;Mar;2017;1
Explotatório - Produção;Terra;2017;151
Explotatório - Produção;Mar;2017;30
Explotatório - Injeção;Terra;2017;4
Explotatório - Injeção;Mar;2017;18
Especiais;Terra;2017;0
Especiais;Mar;2017;8
Exploratório - Pioneiro;Terra;2018;11
Exploratório - Pioneiro;Mar;2018;5
Exploratório - Estratigráfico;Terra;2018;0
Exploratório - Estratigráfico;Mar;2018;0
Exploratório - Extensão/Avaliação;Terra;2018;4
Exploratório - Extensão/Avaliação;Mar;2018;2
Exploratório - Pioneiro Adjacente;Terra;2018;5
Exploratório - Pioneiro Adjacente;Mar;2018;0
Exploratório - Jazida mais Rasa;Terra;2018;0
Exploratório - Jazida mais Rasa;Mar;2018;0
Exploratório - Jazida mais Profunda;Terra;2018;0
Exploratório - Jazida mais Profunda;Mar;2018;
Explotatório - Produção;Terra;2018;101
Explotatório - Produção;Mar;2018;30
Explotatório - Injeção;Terra;2018;0
Explotatório - Injeção;Mar;2018;15
Especiais;Terra;2018;0
Especiais;Mar;2018;14
